run,node_id,num_nodes,num_txn_workers,num_txns,cc_scheme,use_switch,switch_no_conflict,lm_on_switch,csv_file_cycles,workload,ycsb_table_size,ycsb_write_prob,ycsb_hot_size,ycsb_hot_prob,ycsb_remote_prob,tpcc_num_warehouses,tpcc_num_districts,tpcc_home_w_id,new_order_remote_prob,payment_remote_prob,switch_entries,smallbank_table_size,smallbank_hot_prob,smallbank_remote_prob,smallbank_hot_size,micro_recirc_prob,local_read_lock_failed,local_write_lock_failed,local_lock_success,local_lock_waiting,remote_lock_failed,remote_lock_success,remote_lock_waiting,switch_aborts,tpcc_no_warehouse_read,tpcc_no_district_write,tpcc_no_customer_read,tpcc_no_warehouse_f_get,tpcc_no_district_f_get,tpcc_no_customer_f_get,tpcc_no_stock_acquired,tpcc_no_item_acquired,tpcc_no_commits,tpcc_pay_warehouse_write,tpcc_pay_district_write,tpcc_pay_customer_write,tpcc_pay_warehouse_f_get,tpcc_pay_district_f_get,tpcc_pay_customer_f_get,tpcc_pay_commits,micro_recirc_recircs,ycsb_read_commits,ycsb_write_commits,smallbank_amalgamate_commits,smallbank_balance_commits,smallbank_deposit_checking_commits,smallbank_send_payment_commits,smallbank_write_check_commits,smallbank_transact_saving_commits,tpcc_no_txns,tpcc_pay_txns,tpcc_pay_warehouse_read,tpcc_pay_district_read,commit_latency,latch_contention,remote_latency,local_latency,switch_txn_latency,total_tps,total_cps,total_commits,total_aborts,total_txns,total_on_switch,avg_duration
0,1,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723362,723134,9996854,3146,10000000,7493353,13824335
0,2,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359221,359163,9998383,1617,10000000,7493570,27837957
0,3,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724553,724332,9996946,3054,10000000,7494695,13801595
0,4,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722890,722675,9997026,2974,10000000,7493212,13833352
0,5,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721994,721767,9996854,3146,10000000,7494229,13850521
0,6,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733426,733200,9996928,3072,10000000,7494590,13634635
0,7,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733562,733332,9996860,3140,10000000,7495730,13632099
0,0,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822230,822197,9999599,401,10000000,7498712,12162046
0,1,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819397,819363,9999589,411,10000000,7499553,12204089
0,2,8,20,500000,no_wait,true,true,false,cycles.csv,ycsb,10000000,50,1251,75,20,0,0,0,0,0,10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818947,818912,9999571,429,10000000,7499016,12210797
