run,node_id,num_nodes,num_txn_workers,num_txns,cc_scheme,use_switch,switch_no_conflict,ycsb_opti_test,lm_on_switch,csv_file_cycles,csv_file_periodic,workload,ycsb_table_size,ycsb_write_prob,ycsb_hot_size,ycsb_hot_prob,ycsb_remote_prob,tpcc_num_warehouses,tpcc_num_districts,tpcc_home_w_id,new_order_remote_prob,payment_remote_prob,smallbank_table_size,smallbank_hot_prob,smallbank_remote_prob,smallbank_hot_size,micro_recirc_prob,local_read_lock_failed,local_write_lock_failed,local_lock_success,local_lock_waiting,remote_lock_failed,remote_lock_success,remote_lock_waiting,switch_aborts,tpcc_no_warehouse_read,tpcc_no_district_write,tpcc_no_customer_read,tpcc_no_warehouse_f_get,tpcc_no_district_f_get,tpcc_no_customer_f_get,tpcc_no_stock_acquired,tpcc_no_commits,tpcc_pay_warehouse_write,tpcc_pay_district_write,tpcc_pay_customer_write,tpcc_pay_warehouse_f_get,tpcc_pay_district_f_get,tpcc_pay_customer_f_get,tpcc_pay_commits,micro_recirc_recircs,ycsb_read_commits,ycsb_write_commits,smallbank_amalgamate_commits,smallbank_balance_commits,smallbank_deposit_checking_commits,smallbank_send_payment_commits,smallbank_write_check_commits,smallbank_transact_saving_commits,total_tps,total_cps,total_commits,total_aborts,total_txns,total_on_switch,avg_duration,hot_commit_ratio
0,7,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,731722,1133318,54613565,0,489788,14170366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339291,259216,7639958,2360042,10000000,0,29473215,67.19245875883739
0,0,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,21,29,16004920,0,8,4001760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758255,758250,9999942,58,10000000,7499483,13188174,75.02667397564954
0,1,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,14,17,16006758,0,7,4000722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758929,758925,9999958,42,10000000,7498511,13176463,75.00377354131166
0,2,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,21,16,16006087,0,6,4001765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754438,754434,9999954,46,10000000,7498823,13254893,75.00434653745697
0,3,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,26,23,15994819,0,13,3997324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754017,754013,9999947,53,10000000,7500633,13262284,75.0735114648975
0,4,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,21,25,15996563,0,15,4002555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753307,753302,9999941,59,10000000,7500306,13274798,75.01711532564214
0,5,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,27,19,15995163,0,7,4002830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744828,744824,9999946,54,10000000,7500989,13425914,74.91475914849829
0,6,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,19,28,16007297,0,6,4001266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767707,767703,9999946,54,10000000,7498661,13025797,75.10619076377566
0,7,8,20,500000,no_wait,true,true,false,false,../cycles2_3.csv,../periodic2_3.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,17,21,15986581,0,8,4000986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762318,762314,9999952,48,10000000,7501444,13117883,75.07696808469142
0,0,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1742180,3733238,30516548,0,1423571,7735613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551841,170656,3092494,6907506,10000000,0,18121149,18.89858981364149
0,1,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1746435,3734090,30502663,0,1425865,7735221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553244,170927,3089555,6910445,10000000,0,18075205,18.956440717447006
0,2,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1747369,3736704,30507132,0,1431456,7729934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550797,170230,3090624,6909376,10000000,0,18155485,18.97254975503411
0,3,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1745745,3736045,30499128,0,1431105,7729481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549930,169986,3091059,6908941,10000000,0,18184129,18.885587098744406
0,4,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1743995,3736937,30507166,0,1429471,7734763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550069,170030,3091076,6908924,10000000,0,18179534,19.130794213167995
0,5,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1744174,3741227,30528432,0,1439526,7722242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543892,168369,3095635,6904365,10000000,0,18385975,18.87783042453392
0,6,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1743918,3733609,30509258,0,1422153,7738862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557154,172157,3089950,6910050,10000000,0,17948343,18.892621336731146
0,7,8,20,500000,no_wait,false,true,false,false,../cycles2_4.csv,../periodic2_4.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,1741163,3724539,30570462,0,1424009,7733026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554056,171817,3101083,6898917,10000000,0,18048712,18.821791926485066
0,0,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,110,211,16005453,0,63,3998723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690706,690677,9999579,421,10000000,7498835,14477934,74.96742110175252
0,1,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,106,223,15991099,0,101,3999625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690733,690705,9999596,404,10000000,7501131,14477374,74.90539571168094
0,2,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,119,244,15997196,0,69,3997179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686343,686312,9999544,456,10000000,7500428,14569964,74.92710498440277
0,3,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,113,230,15985953,0,80,3996527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686461,686431,9999572,428,10000000,7502028,14567469,75.02636621701085
0,4,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,109,246,15992415,0,79,3999819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686000,685970,9999566,434,10000000,7500502,14577255,74.91922919741174
